Accession,Species,Length,Geo_Location,Host
MT506556,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT506557,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506558,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens
MT506559,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506560,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506561,Severe acute respiratory syndrome-related coronavirus,29807,USA: Michigan,Homo sapiens
MT506562,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT506563,Severe acute respiratory syndrome-related coronavirus,29772,USA: Michigan,Homo sapiens
MT506564,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens
MT506565,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT506566,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens
MT506567,Severe acute respiratory syndrome-related coronavirus,29797,USA: Michigan,Homo sapiens
MT506568,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT506569,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT506570,Severe acute respiratory syndrome-related coronavirus,29831,USA: Michigan,Homo sapiens
MT506571,Severe acute respiratory syndrome-related coronavirus,29810,USA: Michigan,Homo sapiens
MT506572,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT506573,Severe acute respiratory syndrome-related coronavirus,29832,USA: Michigan,Homo sapiens
MT506574,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT506575,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT506576,Severe acute respiratory syndrome-related coronavirus,29809,USA: Michigan,Homo sapiens
MT506577,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506578,Severe acute respiratory syndrome-related coronavirus,29808,USA: Michigan,Homo sapiens
MT506579,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506580,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506581,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens
MT506582,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT506583,Severe acute respiratory syndrome-related coronavirus,29793,USA: Michigan,Homo sapiens
MT506584,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506585,Severe acute respiratory syndrome-related coronavirus,29817,USA: Michigan,Homo sapiens
MT506586,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT506587,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506636,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT506637,Severe acute respiratory syndrome-related coronavirus,29808,USA: Michigan,Homo sapiens
MT506638,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506639,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens
MT506640,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506641,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT506642,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506643,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506644,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506645,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506646,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506647,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT506648,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506649,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens
MT506650,Severe acute respiratory syndrome-related coronavirus,29833,USA: Michigan,Homo sapiens
MT506651,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506652,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens
MT506653,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506654,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506655,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT506656,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT506657,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506658,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506659,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506660,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens
MT506661,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506662,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens
MT506663,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT506664,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506665,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506666,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT506667,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens
MT506668,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506669,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT506670,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506671,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens
MT506672,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506673,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506674,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506675,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506676,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506677,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506678,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506679,Severe acute respiratory syndrome-related coronavirus,29845,USA: Michigan,Homo sapiens
MT506680,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506681,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT506682,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT506683,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506684,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens
MT506685,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506686,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506687,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens
MT506688,Severe acute respiratory syndrome-related coronavirus,29856,USA: Michigan,Homo sapiens
MT506689,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens
MT506690,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506691,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT506692,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens
MT506693,Severe acute respiratory syndrome-related coronavirus,29821,USA: Michigan,Homo sapiens
MT506694,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT506695,Severe acute respiratory syndrome-related coronavirus,29828,USA: Michigan,Homo sapiens
MT506696,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506697,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT506698,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506699,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506700,Severe acute respiratory syndrome-related coronavirus,29865,USA: Michigan,Homo sapiens
MT506701,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT506702,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT506707,Severe acute respiratory syndrome-related coronavirus,29883,USA,Homo sapiens
MT506885,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens
MT506886,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Oregon, Wisconsin",Homo sapiens
MT506887,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Dane County, Wisconsin",Homo sapiens
MT506888,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506889,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506890,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Madison, Wisconsin",Homo sapiens
MT506891,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506892,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506893,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Dane County, Wisconsin",Homo sapiens
MT506894,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506895,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Mount Horeb, Wisconsin",Homo sapiens
MT506896,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506897,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506898,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Verona, Wisconsin",Homo sapiens
MT506899,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506900,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506901,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Mount Horeb, Wisconsin",Homo sapiens
MT506902,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506903,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506904,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506905,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT506906,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Dane County, Wisconsin",Homo sapiens
MT506907,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens
MT507271,Severe acute respiratory syndrome-related coronavirus,29882,Jamaica,Homo sapiens
MT507272,Severe acute respiratory syndrome-related coronavirus,29882,Jamaica,Homo sapiens
MT507273,Severe acute respiratory syndrome-related coronavirus,29882,Jamaica,Homo sapiens
MT507274,Severe acute respiratory syndrome-related coronavirus,29882,Jamaica,Homo sapiens
MT507275,Severe acute respiratory syndrome-related coronavirus,29882,Jamaica,Homo sapiens
MT507276,Severe acute respiratory syndrome-related coronavirus,29882,Jamaica,Homo sapiens
MT507277,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens
MT507278,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens
MT507279,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens
MT507280,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens
MT507281,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens
MT507282,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens
MT507793,Severe acute respiratory syndrome-related coronavirus,29885,Jamaica,Homo sapiens
MT507794,Severe acute respiratory syndrome-related coronavirus,29882,Jamaica,Homo sapiens
MT507795,Severe acute respiratory syndrome-related coronavirus,29840,USA,Homo sapiens
MT507796,Severe acute respiratory syndrome-related coronavirus,29875,USA,Homo sapiens
MT499171,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens
MT499172,Severe acute respiratory syndrome-related coronavirus,29896,USA: CA,Homo sapiens
MT499173,Severe acute respiratory syndrome-related coronavirus,29867,USA: CA,Homo sapiens
MT499174,Severe acute respiratory syndrome-related coronavirus,29875,USA: CA,Homo sapiens
MT499175,Severe acute respiratory syndrome-related coronavirus,29896,USA: CA,Homo sapiens
MT499176,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens
MT499177,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens
MT499178,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens
MT499179,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens
MT499180,Severe acute respiratory syndrome-related coronavirus,29895,USA: CA,Homo sapiens
MT499181,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens
MT499182,Severe acute respiratory syndrome-related coronavirus,29834,USA: CA,Homo sapiens
MT499183,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens
MT499184,Severe acute respiratory syndrome-related coronavirus,29893,USA: CA,Homo sapiens
MT499185,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens
MT499186,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens
MT499187,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens
MT499188,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens
MT499189,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens
MT499190,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens
MT499191,Severe acute respiratory syndrome-related coronavirus,29893,USA: CA,Homo sapiens
MT499192,Severe acute respiratory syndrome-related coronavirus,29895,USA: CA,Homo sapiens
MT499193,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens
MT499194,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens
MT499195,Severe acute respiratory syndrome-related coronavirus,29893,USA: CA,Homo sapiens
MT499196,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens
MT499197,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens
MT499198,Severe acute respiratory syndrome-related coronavirus,29901,USA: CA,Homo sapiens
MT499199,Severe acute respiratory syndrome-related coronavirus,29894,USA: CA,Homo sapiens
MT499200,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens
MT499201,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens
MT499202,Severe acute respiratory syndrome-related coronavirus,29827,USA: CA,Homo sapiens
MT499203,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens
MT499204,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens
MT499205,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens
MT499206,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens
MT499207,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens
MT499208,Severe acute respiratory syndrome-related coronavirus,29873,Poland,Homo sapiens
MT499209,Severe acute respiratory syndrome-related coronavirus,29903,Poland,Homo sapiens
MT499210,Severe acute respiratory syndrome-related coronavirus,29899,Poland,Homo sapiens
MT500122,Severe acute respiratory syndrome-related coronavirus,29819,Pakistan: Karachi,Homo sapiens
MT502774,Severe acute respiratory syndrome-related coronavirus,29859,Bangladesh,Homo sapiens
MT502900,Severe acute respiratory syndrome-related coronavirus,348,Thailand,Homo sapiens
MT502901,Severe acute respiratory syndrome-related coronavirus,346,Thailand,Homo sapiens
MT502902,Severe acute respiratory syndrome-related coronavirus,346,Thailand,Homo sapiens
MT502903,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502904,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502905,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502906,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502907,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502908,Severe acute respiratory syndrome-related coronavirus,354,Thailand,Homo sapiens
MT502909,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502910,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502911,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502912,Severe acute respiratory syndrome-related coronavirus,333,Thailand,Homo sapiens
MT502913,Severe acute respiratory syndrome-related coronavirus,346,Thailand,Homo sapiens
MT502914,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502915,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502916,Severe acute respiratory syndrome-related coronavirus,354,Thailand,Homo sapiens
MT502917,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502918,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502919,Severe acute respiratory syndrome-related coronavirus,345,Thailand,Homo sapiens
MT502920,Severe acute respiratory syndrome-related coronavirus,346,Thailand,Homo sapiens
MT502921,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502922,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502923,Severe acute respiratory syndrome-related coronavirus,345,Thailand,Homo sapiens
MT502924,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502925,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502926,Severe acute respiratory syndrome-related coronavirus,333,Thailand,Homo sapiens
MT502927,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502928,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502929,Severe acute respiratory syndrome-related coronavirus,346,Thailand,Homo sapiens
MT502930,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502931,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502932,Severe acute respiratory syndrome-related coronavirus,355,Thailand,Homo sapiens
MT502933,Severe acute respiratory syndrome-related coronavirus,339,Thailand,Homo sapiens
MT502934,Severe acute respiratory syndrome-related coronavirus,350,Thailand,Homo sapiens
MT502935,Severe acute respiratory syndrome-related coronavirus,354,Thailand,Homo sapiens
MT502936,Severe acute respiratory syndrome-related coronavirus,350,Thailand,Homo sapiens
MT502937,Severe acute respiratory syndrome-related coronavirus,352,Thailand,Homo sapiens
MT502938,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502939,Severe acute respiratory syndrome-related coronavirus,357,Thailand,Homo sapiens
MT502940,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502941,Severe acute respiratory syndrome-related coronavirus,3014,Thailand,Homo sapiens
MT502942,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502943,Severe acute respiratory syndrome-related coronavirus,3014,Thailand,Homo sapiens
MT502944,Severe acute respiratory syndrome-related coronavirus,3012,Thailand,Homo sapiens
MT502945,Severe acute respiratory syndrome-related coronavirus,3021,Thailand,Homo sapiens
MT502946,Severe acute respiratory syndrome-related coronavirus,3027,Thailand,Homo sapiens
MT502947,Severe acute respiratory syndrome-related coronavirus,2993,Thailand,Homo sapiens
MT502948,Severe acute respiratory syndrome-related coronavirus,2973,Thailand,Homo sapiens
MT502949,Severe acute respiratory syndrome-related coronavirus,2983,Thailand,Homo sapiens
MT502950,Severe acute respiratory syndrome-related coronavirus,2986,Thailand,Homo sapiens
MT502951,Severe acute respiratory syndrome-related coronavirus,2968,Thailand,Homo sapiens
MT502952,Severe acute respiratory syndrome-related coronavirus,2972,Thailand,Homo sapiens
MT502953,Severe acute respiratory syndrome-related coronavirus,3014,Thailand,Homo sapiens
MT502954,Severe acute respiratory syndrome-related coronavirus,3014,Thailand,Homo sapiens
MT502955,Severe acute respiratory syndrome-related coronavirus,3010,Thailand,Homo sapiens
MT502956,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502957,Severe acute respiratory syndrome-related coronavirus,3014,Thailand,Homo sapiens
MT502958,Severe acute respiratory syndrome-related coronavirus,2993,Thailand,Homo sapiens
MT502959,Severe acute respiratory syndrome-related coronavirus,3013,Thailand,Homo sapiens
MT502960,Severe acute respiratory syndrome-related coronavirus,3013,Thailand,Homo sapiens
MT502961,Severe acute respiratory syndrome-related coronavirus,3027,Thailand,Homo sapiens
MT502962,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502963,Severe acute respiratory syndrome-related coronavirus,3013,Thailand,Homo sapiens
MT502964,Severe acute respiratory syndrome-related coronavirus,3014,Thailand,Homo sapiens
MT502965,Severe acute respiratory syndrome-related coronavirus,3036,Thailand,Homo sapiens
MT502966,Severe acute respiratory syndrome-related coronavirus,3048,Thailand,Homo sapiens
MT502967,Severe acute respiratory syndrome-related coronavirus,3032,Thailand,Homo sapiens
MT502968,Severe acute respiratory syndrome-related coronavirus,3032,Thailand,Homo sapiens
MT502969,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502970,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502971,Severe acute respiratory syndrome-related coronavirus,3014,Thailand,Homo sapiens
MT502972,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502973,Severe acute respiratory syndrome-related coronavirus,3027,Thailand,Homo sapiens
MT502974,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502975,Severe acute respiratory syndrome-related coronavirus,3027,Thailand,Homo sapiens
MT502976,Severe acute respiratory syndrome-related coronavirus,3011,Thailand,Homo sapiens
MT502977,Severe acute respiratory syndrome-related coronavirus,3005,Thailand,Homo sapiens
MT502978,Severe acute respiratory syndrome-related coronavirus,3025,Thailand,Homo sapiens
MT502979,Severe acute respiratory syndrome-related coronavirus,1237,Thailand,Homo sapiens
MT502980,Severe acute respiratory syndrome-related coronavirus,4223,Thailand,Homo sapiens
MT502981,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502982,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502983,Severe acute respiratory syndrome-related coronavirus,4217,Thailand,Homo sapiens
MT502984,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502985,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502986,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502987,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502988,Severe acute respiratory syndrome-related coronavirus,4229,Thailand,Homo sapiens
MT502989,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502990,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502991,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502992,Severe acute respiratory syndrome-related coronavirus,4218,Thailand,Homo sapiens
MT502993,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502994,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502995,Severe acute respiratory syndrome-related coronavirus,4225,Thailand,Homo sapiens
MT502996,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502997,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT502998,Severe acute respiratory syndrome-related coronavirus,4226,Thailand,Homo sapiens
MT502999,Severe acute respiratory syndrome-related coronavirus,4216,Thailand,Homo sapiens
MT503000,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT503001,Severe acute respiratory syndrome-related coronavirus,4216,Thailand,Homo sapiens
MT503002,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT503003,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT503004,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT503005,Severe acute respiratory syndrome-related coronavirus,4217,Thailand,Homo sapiens
MT503006,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT503007,Severe acute respiratory syndrome-related coronavirus,4216,Thailand,Homo sapiens
MT503008,Severe acute respiratory syndrome-related coronavirus,4219,Thailand,Homo sapiens
MT503009,Severe acute respiratory syndrome-related coronavirus,4223,Thailand,Homo sapiens
MT503010,Severe acute respiratory syndrome-related coronavirus,4228,Thailand,Homo sapiens
MT503011,Severe acute respiratory syndrome-related coronavirus,4232,Thailand,Homo sapiens
MT503012,Severe acute respiratory syndrome-related coronavirus,4218,Thailand,Homo sapiens
MT503013,Severe acute respiratory syndrome-related coronavirus,4236,Thailand,Homo sapiens
MT503014,Severe acute respiratory syndrome-related coronavirus,4235,Thailand,Homo sapiens
MT503015,Severe acute respiratory syndrome-related coronavirus,4247,Thailand,Homo sapiens
MT503016,Severe acute respiratory syndrome-related coronavirus,4247,Thailand,Homo sapiens
MT503017,Severe acute respiratory syndrome-related coronavirus,2530,Thailand,Homo sapiens
MT503018,Severe acute respiratory syndrome-related coronavirus,4247,Thailand,Homo sapiens
MT503019,Severe acute respiratory syndrome-related coronavirus,1095,Thailand,Homo sapiens
MT503020,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503021,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503022,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503023,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503024,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503025,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503026,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503027,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503028,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503029,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503030,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503031,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503032,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503033,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503034,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503035,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503036,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503037,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503038,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503039,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503040,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
MT503041,Severe acute respiratory syndrome-related coronavirus,688,Thailand,Homo sapiens
